,component,count
0,3,1678
1,8589934626,316
2,8589934637,135
3,42,79
4,43,71
5,68719476762,48
6,25769803798,32
7,137438953482,26
8,17179869207,23
9,42949672979,20
10,8589934592,18
11,60129542146,18
12,137438953513,17
13,94489280538,17
14,60129542155,15
15,68719476759,13
16,17179869190,13
17,41,13
18,584115552263,13
19,85899345921,13
20,128849018886,12
21,94489280556,11
22,163208757270,10
23,326417514541,10
24,8589934631,10
25,369367187490,10
26,85899345960,9
27,103079215148,9
28,85899345978,9
29,128849018918,8
30,257698037804,8
31,206158430243,7
32,103079215135,7
33,618475290662,7
34,558345748492,7
35,2,7
36,23,7
37,8589934610,6
38,343597383694,6
39,687194767374,6
40,214748364827,6
41,25769803799,6
42,566935683079,6
43,420906795013,6
44,1065151889419,5
45,77309411344,5
46,266287972367,5
47,77309411347,5
48,515396075542,5
49,214748364843,5
50,85899345922,5
51,231928233984,5
52,257698037799,5
53,429496729602,5
54,154618822670,5
55,146028888075,5
56,16,5
57,1236950581280,4
58,171798691859,4
59,103079215139,4
60,206158430244,4
61,970662608921,4
62,730144440335,4
63,489626271770,4
64,180388626465,4
65,103079215123,4
66,549755813908,4
67,395136991251,4
68,575525617678,4
69,15,4
70,240518168579,4
71,197568495640,3
72,438086664219,3
73,60129542184,3
74,231928234024,3
75,489626271760,3
76,919123001408,3
77,163208757248,3
78,34359738372,3
79,274877906955,3
80,283467841540,3
81,575525617697,3
82,1,3
83,120259084305,3
84,8589934629,3
85,326417514524,3
86,523986010112,3
87,34359738381,3
88,223338299427,3
89,532575944720,3
90,1065151889422,3
91,206158430209,3
92,60129542157,3
93,541165879297,3
94,1116691496977,3
95,506806140951,3
96,635655159841,3
97,180388626457,3
98,412316860449,3
99,867583393799,3
100,575525617691,3
101,154618822663,3
102,171798691882,3
103,463856467996,3
104,566935683095,3
105,1245540515846,2
106,738734374946,2
107,712964571168,2
108,652835028992,2
109,171798691870,2
110,644245094431,2
111,833223655460,2
112,42949672983,2
113,292057776171,2
114,1151051235364,2
115,635655159854,2
116,360777252880,2
117,240518168586,2
118,352187318295,2
119,635655159809,2
120,858993459240,2
121,317827579943,2
122,790273982482,2
123,300647710734,2
124,532575944726,2
125,103079215149,2
126,369367187469,2
127,42949672961,2
128,566935683113,2
129,618475290664,2
130,627065225225,2
131,498216206340,2
132,274877906972,2
133,180388626441,2
134,94489280549,2
135,206158430214,2
136,523986010145,2
137,481036337162,2
138,652835029031,2
139,816043786247,2
140,446676598790,2
141,970662608943,2
142,300647710723,2
143,335007449109,2
144,42949672991,2
145,618475290625,2
146,764504178704,2
147,171798691856,2
148,1159641169945,2
149,163208757259,2
150,42949672960,2
151,919123001362,2
152,420906795029,2
153,515396075534,2
154,1331439861792,2
155,489626271766,2
156,618475290642,2
157,1503238553644,2
158,223338299421,2
159,627065225253,2
160,335007449120,2
161,197568495624,2
162,687194767400,2
163,326417514501,2
164,85899345935,2
165,420906795059,2
166,249108103199,2
167,438086664225,2
168,678604832809,2
169,429496729606,2
170,841813590031,2
171,1039382085646,2
172,1400159338497,2
173,575525617664,2
174,773094113281,2
175,1090921693200,2
176,369367187494,2
177,171798691876,2
178,214748364845,2
179,412316860443,2
180,541165879328,2
181,1279900254255,2
182,1348619730975,2
183,541165879332,2
184,773094113297,2
185,584115552297,2
186,231928233985,2
187,1082331758632,2
