,month,نماد,تغیر قیمت
0,1,پست0008پ09,272249
1,1,تملي804,261280
2,1,تملي806,260339
3,1,تملي705,258693
4,1,پست0008پ04,248727
5,1,آرماني,231000
6,1,تملي710,224357
7,1,پست0008پ08,205527
8,1,پست0008پ02,175612
9,1,تملي701,154823
10,3,پست0008پ04,184242
11,3,تملي809,169598
12,3,تملي802,156415
13,3,تملي707,154007
14,3,تملي612,152021
15,3,تملي801,146750
16,3,تملي704,128998
17,3,تملي807,125085
18,3,پست0008پ08,118585
19,3,تملي703,114807
20,2,تملي709,294589
21,2,پست0008پ09,253350
22,2,تملي708,247497
23,2,پست0008پ02,237424
24,2,تملي710,215099
25,2,تملي702,187467
26,2,تملي804,185209
27,2,تملي806,181803
28,2,پست0008پ04,168393
29,2,تملي612,148301
